[ 2025-07-23 21:38:41,941 ] 17 root - INFO - Initiate the data ingestion
[ 2025-07-23 21:39:10,801 ] 61 root - INFO - Performed train-test split on dataframe.
[ 2025-07-23 21:39:11,022 ] 73 root - INFO - Exported train and test file paths.
[ 2025-07-23 21:39:11,025 ] 19 root - INFO - Data inititation Completed
[ 2025-07-23 21:39:11,027 ] 13 root - INFO - Reading YAML file from data_schema\schema.yaml
[ 2025-07-23 21:39:11,113 ] 22 root - INFO - Initiate the data validation
[ 2025-07-23 21:39:11,283 ] 33 root - INFO - Required number of columns: 31
[ 2025-07-23 21:39:11,283 ] 34 root - INFO - Data frame has columns: 31
[ 2025-07-23 21:39:11,292 ] 33 root - INFO - Required number of columns: 31
[ 2025-07-23 21:39:11,293 ] 34 root - INFO - Data frame has columns: 31
[ 2025-07-23 21:39:11,660 ] 27 root - INFO - Wrote YAML file to Artifacts\07_23_2025_21_38_19\data_validation\drift_report\report.yaml
[ 2025-07-23 21:39:11,896 ] 24 root - INFO - daata validation completed
[ 2025-07-23 21:39:11,904 ] 27 root - INFO - data transformation started
[ 2025-07-23 21:39:11,904 ] 57 root - INFO - Entered initiate_data_transformation method of DataTransformation class 
[ 2025-07-23 21:39:11,904 ] 59 root - INFO - Starting data Transformation
[ 2025-07-23 21:39:12,075 ] 43 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-07-23 21:39:12,075 ] 48 root - INFO - Initilaise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-23 21:39:12,099 ] 36 root - INFO - Saving NumPy array to Artifacts\07_23_2025_21_38_19\data_transformation\transformed\train.npy
[ 2025-07-23 21:39:12,111 ] 36 root - INFO - Saving NumPy array to Artifacts\07_23_2025_21_38_19\data_transformation\transformed\test.npy
[ 2025-07-23 21:39:12,115 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 21:39:12,127 ] 50 root - INFO - Saved object to Artifacts\07_23_2025_21_38_19\data_transformation\transformed_object\preprocessing.pkl
[ 2025-07-23 21:39:12,127 ] 51 root - INFO - Exited the save_object method in MainUtils class
[ 2025-07-23 21:39:12,131 ] 31 root - INFO - data transformation completed
[ 2025-07-23 21:39:12,131 ] 34 root - INFO - Model Training started
[ 2025-07-23 21:39:12,131 ] 39 root - INFO - Model Training artifact created
