[ 2025-07-23 22:30:49,266 ] 17 root - INFO - Initiate the data ingestion
[ 2025-07-23 22:30:52,247 ] 61 root - INFO - Performed train-test split on dataframe.
[ 2025-07-23 22:30:52,346 ] 73 root - INFO - Exported train and test file paths.
[ 2025-07-23 22:30:52,346 ] 19 root - INFO - Data inititation Completed
[ 2025-07-23 22:30:52,346 ] 14 root - INFO - Reading YAML file from data_schema\schema.yaml
[ 2025-07-23 22:30:52,359 ] 22 root - INFO - Initiate the data validation
[ 2025-07-23 22:30:52,496 ] 33 root - INFO - Required number of columns: 31
[ 2025-07-23 22:30:52,496 ] 34 root - INFO - Data frame has columns: 31
[ 2025-07-23 22:30:52,496 ] 33 root - INFO - Required number of columns: 31
[ 2025-07-23 22:30:52,496 ] 34 root - INFO - Data frame has columns: 31
[ 2025-07-23 22:30:52,654 ] 28 root - INFO - Wrote YAML file to Artifacts\07_23_2025_22_30_47\data_validation\drift_report\report.yaml
[ 2025-07-23 22:30:52,735 ] 24 root - INFO - daata validation completed
[ 2025-07-23 22:30:52,735 ] 27 root - INFO - data transformation started
[ 2025-07-23 22:30:52,735 ] 57 root - INFO - Entered initiate_data_transformation method of DataTransformation class 
[ 2025-07-23 22:30:52,735 ] 59 root - INFO - Starting data Transformation
[ 2025-07-23 22:30:52,869 ] 43 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-07-23 22:30:52,869 ] 48 root - INFO - Initilaise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-23 22:30:52,897 ] 37 root - INFO - Saving NumPy array to Artifacts\07_23_2025_22_30_47\data_transformation\transformed\train.npy
[ 2025-07-23 22:30:52,903 ] 37 root - INFO - Saving NumPy array to Artifacts\07_23_2025_22_30_47\data_transformation\transformed\test.npy
[ 2025-07-23 22:30:52,907 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-23 22:30:52,913 ] 51 root - INFO - Saved object to Artifacts\07_23_2025_22_30_47\data_transformation\transformed_object\preprocessing.pkl
[ 2025-07-23 22:30:52,913 ] 52 root - INFO - Exited the save_object method in MainUtils class
[ 2025-07-23 22:30:52,913 ] 31 root - INFO - data transformation completed
[ 2025-07-23 22:30:52,913 ] 34 root - INFO - Model Training started
